Sample,d15N (‰ vs. air),wt.% N,d13C (‰ vs. VPDB),wt.% C,Comments
T3-e6,1.62,4.18,-30.57,43.42,
T3-e7,1.67,3.96,-30.39,41.08,
T3-e8,-2.17,4.24,-27.77,44.45,
T3-e9,-2.15,4.29,-27.78,44.87,
T3-e10,1.81,2.46,-29.94,43.09,
T3-e11,1.17,2.75,-29.59,42.44,
T3-e12,1.62,1.71,-30.33,41.53,
T3-f1,1.53,3.09,-30.14,42.47,
T3-f2,0.20,5.20,-28.41,46.23,
T3-f3,0.81,2.75,-29.71,43.84,
T3-f4,1.16,2.80,-29.22,43.30,
T3-f5,5.26,5.76,-29.06,45.76,
T3-f6,4.41,5.00,-28.47,41.98,
T3-f7,0.96,2.35,-30.35,41.59,
T3-f8,0.36,2.38,-29.26,40.92,
T3-f9,0.00,2.40,-29.27,41.30,
T3-f10,-0.89,4.05,-28.56,43.00,
T3-f11,3.70,4.97,-28.36,44.66,
T3-f12,0.94,3.02,-29.00,44.24,
T3-g1,2.81,3.71,-30.55,41.67,
T3-g2,3.95,3.64,-30.41,42.55,
T3-g3,0.96,2.53,-30.65,41.44,
T3-g4,1.22,3.12,-30.44,43.16,
T3-g5,0.82,3.22,-30.54,40.52,
T3-g6,2.21,2.91,-29.97,43.45,
T3-g7,0.89,2.87,-31.06,42.00,
T3-g8,2.29,2.46,-30.06,43.23,
T3-g9,2.28,2.42,-30.07,43.31,
T3-g10,2.27,3.58,-29.94,44.92,
T3-g11,1.43,2.82,-29.65,43.61,
T3-g12,1.10,2.99,-29.67,42.30,
T3-h1,1.27,2.69,-30.20,41.60,
T3-h2,-1.08,4.50,-27.85,44.87,
T3-h3,0.27,3.85,-29.88,43.14,
T3-h4,-1.93,5.09,-28.78,43.87,
T3-h5,1.38,1.91,-30.81,40.30,
T3-h6,0.78,4.74,-29.72,44.31,
T3-h7,0.93,2.08,-30.34,41.58,
T3-h8,0.54,2.30,-30.53,32.82,
T3-h9,4.44,4.41,-28.86,44.10,
T3-h10,1.55,2.52,-30.60,42.09,
T3-h11,-1.19,4.24,-28.37,43.45,
T3-h12,1.30,2.48,-30.33,40.09,
T1-a1,3.28,2.78,-29.73,43.29,
T1-a2,3.24,2.74,-29.74,42.68,
T1-a3,0.80,2.09,-29.59,40.67,
T1-a4,0.98,4.83,-29.58,44.38,
T1-a5,0.24,2.42,-29.47,42.47,
T1-a6,1.43,2.74,-30.18,42.73,
T1-a7,1.01,2.11,-30.35,42.74,
T1-a8,1.53,3.06,-30.96,42.83,
T1-a9,1.86,6.16,-29.88,45.23,
T1-a10,1.61,1.96,-29.66,41.85,
T1-a11,2.03,3.62,-29.94,43.36,
T1-a12,1.21,2.31,-29.24,42.21,
T1-b1,0.95,3.06,-30.35,43.43,
T1-b2,1.02,3.04,-30.31,43.46,
T1-b3,0.87,2.64,-29.94,41.46,
T1-b4,1.24,3.30,-29.86,43.76,
T1-b5,3.51,4.86,-29.98,44.47,
T1-b6,1.69,2.52,-30.89,43.02,
T1-b7,2.31,2.59,-30.54,42.97,
T1-b8,0.58,2.35,-31.17,43.06,
T1-b9,-1.17,4.46,-30.39,46.66,
T1-b10,1.66,2.99,-29.51,43.53,
T1-b11,1.92,2.48,-30.66,43.27,
T1-b12,0.51,1.72,-29.92,44.10,
T1-c1,3.16,2.70,-30.67,42.81,
T1-c2,-2.28,5.18,-28.60,48.02,
T1-c3,1.92,3.12,-29.88,45.10,
T1-c4,0.47,3.33,-30.09,46.83,
T1-c5,-0.73,3.85,-30.36,47.27,
T1-c6,1.12,2.61,-30.25,43.82,
T1-c7,0.44,4.48,-30.11,47.49,
T1-c8,0.48,3.27,-29.98,46.47,
T1-c9,0.91,1.90,-29.54,44.29,
T1-c10,0.62,2.81,-30.11,45.85,
T1-c11,1.14,2.43,-30.14,45.92,
T1-c12,2.60,3.33,-30.02,45.55,
T1-d1,2.51,2.94,-30.03,40.33,
T1-d2,-0.09,2.96,-30.15,44.86,
T1-d3,3.42,6.53,-30.09,49.42,
T1-d4,1.21,3.44,-29.68,46.17,
T1-d5,0.71,3.30,-29.72,46.09,
T1-d6,0.33,3.30,-31.79,42.52,
T1-d7,3.75,2.79,-30.44,42.93,
T1-d8,-0.11,4.57,-29.42,47.13,
T1-d9,-1.91,5.22,-28.31,45.72,
T1-d10,0.46,2.38,-29.69,42.41,
T1-d11,-1.55,3.66,-29.99,45.61,
T1-d12,-1.18,2.67,-30.75,43.38,
T1-e1,3.90,3.77,-29.82,42.41,
T1-e2,1.75,2.79,-30.58,43.39,
T1-e3,2.04,4.26,-30.05,43.65,
T1-e4,0.78,1.97,-29.84,40.80,
T1-e5,0.53,1.90,-30.54,41.92,
T1-e6,0.49,1.87,-30.53,41.56,
T1-e7,0.36,2.34,-31.08,42.78,
T1-e8,1.55,4.02,-30.03,44.30,
T1-e9,-1.79,2.19,-29.68,43.66,
T1-e10,2.68,4.39,-29.50,44.43,
T1-e11,0.91,3.88,-29.97,42.50,
T1-e12,-1.36,3.82,-30.09,44.27,
T1-f1,1.60,2.56,-29.46,42.58,
T1-f2,0.00,1.97,-29.82,42.40,
T1-f3,0.26,2.00,-29.84,42.38,
T1-f4,2.40,3.14,-29.91,39.85,
T1-f5,1.05,2.67,-30.17,41.97,
T1-f6,-0.58,2.67,-31.09,40.34,
T1-f7,2.86,2.61,-29.44,41.46,
T1-f8,0.92,2.84,-30.02,42.37,
T1-f9,-0.28,2.72,-31.15,41.26,
T1-f10,1.16,2.12,-30.90,41.59,
T1-f11,0.15,2.33,-30.43,40.96,
T1-f12,3.07,3.48,-29.68,43.69,
T1-g1,-2.06,5.21,-29.64,46.79,
T1-g2,1.13,2.92,-30.77,43.18,
T1-g3,1.37,4.46,-28.84,44.53,
T1-g4,1.49,3.00,-29.67,42.74,
T1-g5,1.63,2.97,-29.73,42.66,
T1-g6,-1.04,4.88,-29.40,44.98,
T1-g7,2.17,2.86,-29.83,43.88,
T1-g8,1.04,3.21,-30.68,41.50,
T1-g9,2.39,2.83,-29.26,42.33,
T1-g10,1.47,3.36,-29.47,41.81,
T1-g11,1.46,3.49,-29.83,41.61,
T1-g12,0.88,3.56,-29.99,45.72,
T1-h1,1.52,4.78,-29.96,43.71,
T1-h2,5.14,4.34,-14.36,36.99,
